person_id,first_name,last_name
1,Morten,Tyldum
2,James,Cameron
3,Christopher,Nolan
4,Robert,Zemeckis
5,Lana,Wachowski
6,Graham,Moore
7,Lilly,Wachowski
8,Eric,Roth
9,Jonathan,Nolan
10,Benedict,Cumberbatch
11,Keira,Knightley
12,Matthew,Goode
13,Mark,Strong
14,Charles,Dance
15,Leonardo,DiCaprio
16,Kate,Winslet
17,Billy,Zane
18,Frances,Fisher
19,Gloria,Stuart
20,Matthew,McConaughey
21,Anne,Hathaway
22,Jessica,Chastain
23,Michael,Caine
24,Matt,Damon
25,Tom,Hanks
26,Robin,Wright
27,Gary,Sinise
28,Mykelti,Williamson
29,Sally,Field
30,Keanu,Reeves
31,Laurence,Fishburne
32,Carrie-Anne,Moss
33,Hugo,Weaving
34,Joe,Pantoliano
